meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1222,9206,63,1,2023-10-20T17:30:03.786000+00:00,,43.435,36.042,179.0,172,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2051, 2049, 2051, 2051, 2051, 2051]",294
1222,9206,27,1,2023-10-20T17:30:05.457000+00:00,,44.217,38.969,167.0,166,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2051]",300
1222,9206,20,1,2023-10-20T17:30:06.535000+00:00,,47.188,52.493,177.0,169,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051]",289
1222,9206,1,1,2023-10-20T17:30:11.395000+00:00,,43.633,46.715,195.0,175,True,,"[2064, 2064, 2049, 2051, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2051]",286
1222,9206,55,1,2023-10-20T17:30:14.567000+00:00,,49.182,51.733,167.0,106,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049]",297
1222,9206,10,1,2023-10-20T17:30:17.207000+00:00,,44.994,47.346,178.0,152,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",301
1222,9206,24,1,2023-10-20T17:30:20.035000+00:00,,45.677,57.469,179.0,126,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",272
1222,9206,18,1,2023-10-20T17:30:23.363000+00:00,,46.948,62.114,162.0,146,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",233
1222,9206,3,1,2023-10-20T17:30:25.738000+00:00,,55.372,59.321,155.0,157,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",215
1222,9206,77,1,2023-10-20T17:30:29.598000+00:00,,46.614,59.308,161.0,170,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",297
1222,9206,44,1,2023-10-20T17:30:37.894000+00:00,,49.841,59.148,141.0,144,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",263
1222,9206,22,1,2023-10-20T17:30:51.097000+00:00,,48.382,64.07,163.0,129,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",289
1222,9206,11,1,2023-10-20T17:30:54.722000+00:00,,44.072,64.244,187.0,169,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",288
