meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1222,9207,1,2,1,3,SOFT,0
1222,9207,1,1,1,4,SOFT,3
1222,9207,1,3,1,4,SOFT,0
1222,9207,1,10,1,4,SOFT,3
1222,9207,1,11,1,4,SOFT,3
1222,9207,1,16,1,4,SOFT,7
1222,9207,1,18,1,4,SOFT,0
1222,9207,1,20,1,4,SOFT,0
1222,9207,1,22,1,4,SOFT,0
1222,9207,1,23,1,4,SOFT,0
1222,9207,1,27,1,4,SOFT,0
1222,9207,1,31,1,4,SOFT,0
1222,9207,1,44,1,4,SOFT,3
1222,9207,1,55,1,4,SOFT,7
1222,9207,1,63,1,4,SOFT,0
1222,9207,1,4,1,6,SOFT,0
1222,9207,1,14,1,6,SOFT,0
1222,9207,1,24,1,7,SOFT,0
1222,9207,1,77,1,7,SOFT,0
1222,9207,1,81,1,7,SOFT,0
1222,9207,2,2,3,6,SOFT,0
1222,9207,2,23,4,6,SOFT,0
1222,9207,2,27,4,6,SOFT,0
1222,9207,2,1,4,7,SOFT,0
1222,9207,2,3,4,7,SOFT,0
1222,9207,2,10,4,7,SOFT,0
1222,9207,2,11,4,7,SOFT,0
1222,9207,2,18,4,7,SOFT,0
1222,9207,2,20,4,7,SOFT,0
1222,9207,2,22,4,7,SOFT,0
1222,9207,2,31,4,7,SOFT,0
1222,9207,2,44,4,7,SOFT,0
1222,9207,2,55,4,7,SOFT,0
1222,9207,2,63,4,7,SOFT,0
1222,9207,2,16,4,10,SOFT,0
1222,9207,2,14,6,8,SOFT,0
1222,9207,3,2,6,8,SOFT,0
1222,9207,2,4,6,9,SOFT,0
1222,9207,3,10,7,8,SOFT,0
1222,9207,3,18,7,9,SOFT,0
1222,9207,2,24,7,10,SOFT,0
1222,9207,2,77,7,10,SOFT,0
1222,9207,2,81,7,10,SOFT,0
1222,9207,3,1,7,10,SOFT,3
1222,9207,3,3,7,10,SOFT,0
1222,9207,3,11,7,10,SOFT,0
1222,9207,3,20,7,10,SOFT,0
1222,9207,3,22,7,10,SOFT,0
1222,9207,3,31,7,10,SOFT,0
1222,9207,3,44,7,10,SOFT,3
1222,9207,3,55,7,10,SOFT,0
1222,9207,3,63,7,10,SOFT,0
1222,9207,4,10,8,11,SOFT,0
1222,9207,3,4,9,12,SOFT,0
1222,9207,4,3,10,12,SOFT,0
1222,9207,4,11,10,12,SOFT,0
1222,9207,4,20,10,12,SOFT,0
1222,9207,4,22,10,12,SOFT,0
1222,9207,3,16,10,13,SOFT,6
1222,9207,3,24,10,13,SOFT,0
1222,9207,3,77,10,13,SOFT,0
1222,9207,3,81,10,13,SOFT,0
1222,9207,4,1,10,13,SOFT,0
1222,9207,4,31,10,13,SOFT,0
1222,9207,4,44,10,13,SOFT,0
1222,9207,4,55,10,13,SOFT,0
1222,9207,4,63,10,13,SOFT,0
1222,9207,5,10,11,14,SOFT,0
1222,9207,4,4,12,15,SOFT,0
1222,9207,5,11,12,15,SOFT,0
1222,9207,4,24,13,15,SOFT,0
1222,9207,4,77,13,15,SOFT,0
1222,9207,4,81,13,15,SOFT,0
1222,9207,4,16,13,16,SOFT,0
1222,9207,5,1,13,16,SOFT,0
1222,9207,5,31,13,16,SOFT,0
1222,9207,5,44,13,16,SOFT,0
1222,9207,5,55,13,16,SOFT,0
1222,9207,5,63,13,16,SOFT,3
1222,9207,6,10,14,17,SOFT,1
1222,9207,6,11,15,17,SOFT,0
1222,9207,5,4,15,18,SOFT,3
1222,9207,5,81,15,18,SOFT,2
1222,9207,6,1,16,18,SOFT,0
1222,9207,6,44,16,18,SOFT,0
1222,9207,6,55,16,18,SOFT,0
1222,9207,6,63,16,18,SOFT,0
1222,9207,5,16,16,19,SOFT,0
1222,9207,6,31,16,19,SOFT,3
1222,9207,7,10,17,19,SOFT,0
1222,9207,6,4,18,20,SOFT,0
1222,9207,6,81,18,20,SOFT,0
1222,9207,6,16,19,21,SOFT,0
1222,9207,7,31,19,21,SOFT,0
