meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1222,9207,2,1,2023-10-20T21:00:04.073000+00:00,,47.19,41.429,150.0,140,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049]","[2049, 2049, 2049, 2051, 2051, 2051]",299
1222,9207,10,1,2023-10-20T21:00:12.026000+00:00,,48.681,41.099,155.0,129,True,,"[2064, 2064, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2049, 2049, 2049, 2051]",270
1222,9207,24,1,2023-10-20T21:00:17.744000+00:00,,48.636,42.926,162.0,126,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",250
1222,9207,77,1,2023-10-20T21:00:22.197000+00:00,,48.65,40.972,148.0,148,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2049, 2049]",278
1222,9207,31,1,2023-10-20T21:00:30.729000+00:00,,48.376,41.701,158.0,132,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",249
1222,9207,18,1,2023-10-20T21:00:36.479000+00:00,,46.248,45.707,138.0,155,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2049, 2049, 2051]","[2049, 2049, 2049, 2051, 2049, 2049]",291
1222,9207,4,1,2023-10-20T21:00:46.213000+00:00,,47.232,43.692,176.0,142,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2051, 2049]",285
1222,9207,16,1,2023-10-20T21:00:54.838000+00:00,,47.485,45.354,178.0,149,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",247
1222,9207,81,1,2023-10-20T21:01:02.588000+00:00,,47.441,45.182,182.0,140,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",295
1222,9207,55,1,2023-10-20T21:01:04.400000+00:00,,49.53,41.792,168.0,133,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",248
