meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1222,9294,44,1,2023-10-21T17:30:53.080000+00:00,,50.675,37.854,149,138,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2051]",243
1222,9294,27,1,2023-10-21T17:30:57.002000+00:00,,49.158,41.833,133,119,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049]",284
1222,9294,20,1,2023-10-21T17:30:59.892000+00:00,,49.306,42.713,158,145,True,,"[2064, 2064, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049]",240
1222,9294,77,1,2023-10-21T17:31:03.267000+00:00,,47.784,43.213,174,170,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",221
1222,9294,81,1,2023-10-21T17:31:07.908000+00:00,,49.007,40.766,173,150,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2051]",291
1222,9294,4,1,2023-10-21T17:31:26.892000+00:00,,53.355,36.182,140,132,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2049, 2049, 2049]",292
1222,9294,23,1,2023-10-21T17:31:40.079000+00:00,,51.594,40.426,161,118,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",299
1222,9294,16,1,2023-10-21T17:31:51.204000+00:00,,46.715,46.938,185,152,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",274
1222,9294,2,1,2023-10-21T17:32:00.313000+00:00,,46.642,42.432,150,133,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",298
1222,9294,55,1,2023-10-21T17:32:06.579000+00:00,,46.851,45.711,180,147,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",295
1222,9294,18,1,2023-10-21T17:32:12.751000+00:00,,45.342,44.134,134,154,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",298
1222,9294,14,1,2023-10-21T17:32:23.188000+00:00,,49.07,35.735,154,165,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",304
1222,9294,3,1,2023-10-21T17:32:40.906000+00:00,,53.453,35.876,201,150,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",292
1222,9294,10,1,2023-10-21T17:32:54.609000+00:00,,54.532,36.237,137,143,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",279
1222,9294,44,2,2023-10-21T17:32:56.093000+00:00,25.877,38.953,31.572,227,191,False,96.402,"[2049, 2049, 2051, 2049, 2049, 2051]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2051]","[2051, 2051, 2049, 2051, 2051, 2051, 0]",315
1222,9294,22,1,2023-10-21T17:33:00.906000+00:00,,49.944,40.563,107,136,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",288
1222,9294,31,1,2023-10-21T17:33:05.750000+00:00,,49.116,41.465,165,160,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",274
1222,9294,27,2,2023-10-21T17:33:06.015000+00:00,26.265,38.768,32.018,230,188,False,97.051,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",326
1222,9294,20,2,2023-10-21T17:33:13.593000+00:00,26.341,39.145,31.843,222,186,False,97.329,"[2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2051, 2049]","[2049, 2049, 2051, 2049, 2049, 2051, 0]",326
1222,9294,77,2,2023-10-21T17:33:19.406000+00:00,26.364,39.049,31.91,220,189,False,97.323,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",319
1222,9294,63,1,2023-10-21T17:33:30.718000+00:00,,46.97,45.662,179,166,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",296
1222,9294,81,2,2023-10-21T17:33:32.890000+00:00,26.503,39.411,32.064,221,187,False,97.978,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",318
1222,9294,1,1,2023-10-21T17:33:43.983000+00:00,,47.724,43.065,188,176,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",290
1222,9294,4,2,2023-10-21T17:33:43.999000+00:00,26.136,38.815,31.772,223,189,False,96.723,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",319
1222,9294,24,1,2023-10-21T17:33:51.389000+00:00,,47.224,40.068,186,153,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",296
1222,9294,23,2,2023-10-21T17:33:54.452000+00:00,26.009,38.954,31.865,228,190,False,96.828,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]",322
1222,9294,16,2,2023-10-21T17:34:05.499000+00:00,25.967,38.72,31.615,231,190,False,96.302,"[2049, 2049, 2049, 2049, 2051, 2049]","[2051, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2051, 2049, 2051, 2051, 2049, 2049, 0]",325
1222,9294,11,1,2023-10-21T17:34:06.889000+00:00,,45.579,40.223,202,156,True,,"[2064, 2064, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",282
1222,9294,2,2,2023-10-21T17:34:12.827000+00:00,26.478,39.284,32.026,222,186,False,97.788,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]",323
1222,9294,55,2,2023-10-21T17:34:23.061000+00:00,25.808,38.867,31.647,228,187,False,96.322,"[2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2051, 0]",323
1222,9294,18,2,2023-10-21T17:34:31.107000+00:00,26.38,39.28,31.887,213,189,False,97.547,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",316
1222,9294,44,3,2023-10-21T17:34:32.654000+00:00,38.464,49.181,42.783,150,146,False,130.428,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064]",256
1222,9294,14,2,2023-10-21T17:34:39.685000+00:00,26.049,39.219,31.839,232,185,False,97.107,"[2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 0]",316
1222,9294,27,3,2023-10-21T17:34:42.998000+00:00,36.644,48.23,44.367,167,158,False,129.241,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064]",214
1222,9294,3,2,2023-10-21T17:34:49.638000+00:00,26.108,39.525,31.786,232,184,False,97.419,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",317
1222,9294,20,3,2023-10-21T17:34:50.935000+00:00,34.695,54.878,38.673,156,59,False,128.246,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064]",212
1222,9294,77,3,2023-10-21T17:34:56.732000+00:00,38.52,48.692,41.556,185,163,False,128.768,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2064, 2064]",241
1222,9294,10,2,2023-10-21T17:35:05.451000+00:00,26.044,38.999,31.552,227,189,False,96.595,"[2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2051, 0]",320
1222,9294,81,3,2023-10-21T17:35:10.919000+00:00,40.058,49.624,,107,152,False,,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0]",247
1222,9294,22,2,2023-10-21T17:35:14.810000+00:00,26.064,39.109,31.772,224,184,False,96.945,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]",318
1222,9294,4,3,2023-10-21T17:35:20.732000+00:00,40.337,54.045,,149,150,False,,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0]",244
1222,9294,31,2,2023-10-21T17:35:24.966000+00:00,25.977,38.748,31.647,224,191,False,96.372,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",322
