meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1207,9063,1,44,1,3,MEDIUM,0
1207,9063,1,22,1,5,SOFT,0
1207,9063,1,10,1,7,MEDIUM,0
1207,9063,1,1,1,8,MEDIUM,0
1207,9063,1,2,1,8,MEDIUM,0
1207,9063,1,11,1,8,MEDIUM,0
1207,9063,1,16,1,8,HARD,0
1207,9063,1,20,1,8,HARD,0
1207,9063,1,31,1,8,MEDIUM,0
1207,9063,1,81,1,8,HARD,0
1207,9063,1,4,1,9,HARD,0
1207,9063,1,14,1,9,MEDIUM,0
1207,9063,1,18,1,9,MEDIUM,0
1207,9063,1,21,1,9,SOFT,0
1207,9063,1,23,1,9,MEDIUM,0
1207,9063,1,24,1,9,MEDIUM,0
1207,9063,1,27,1,9,HARD,0
1207,9063,1,55,1,9,HARD,0
1207,9063,1,63,1,9,MEDIUM,0
1207,9063,1,77,1,9,MEDIUM,0
1207,9063,2,44,3,5,MEDIUM,2
1207,9063,2,22,5,10,MEDIUM,0
1207,9063,3,44,5,19,MEDIUM,0
1207,9063,2,1,8,14,MEDIUM,7
1207,9063,2,2,8,14,MEDIUM,7
1207,9063,2,11,8,14,MEDIUM,7
1207,9063,2,16,8,14,HARD,7
1207,9063,2,81,8,14,HARD,7
1207,9063,2,63,9,14,MEDIUM,8
1207,9063,2,27,9,15,MEDIUM,0
1207,9063,2,77,9,15,MEDIUM,8
1207,9063,2,4,9,16,HARD,8
1207,9063,2,14,9,16,MEDIUM,0
1207,9063,2,23,9,16,MEDIUM,8
1207,9063,2,24,9,16,MEDIUM,8
1207,9063,2,55,9,16,HARD,8
1207,9063,2,18,9,17,MEDIUM,0
1207,9063,2,21,9,17,MEDIUM,0
1207,9063,3,22,10,18,SOFT,0
1207,9063,3,2,14,16,SOFT,0
1207,9063,3,63,14,17,SOFT,0
1207,9063,3,16,14,21,SOFT,0
1207,9063,3,1,14,22,SOFT,0
1207,9063,3,11,14,22,SOFT,0
1207,9063,3,81,14,23,SOFT,0
1207,9063,3,27,15,21,SOFT,0
1207,9063,3,77,15,23,SOFT,0
1207,9063,3,14,16,20,MEDIUM,15
1207,9063,3,4,16,22,SOFT,0
1207,9063,3,24,16,23,SOFT,0
1207,9063,3,55,16,23,SOFT,0
1207,9063,3,23,16,25,SOFT,0
1207,9063,4,63,17,20,MEDIUM,13
1207,9063,3,18,17,21,SOFT,0
1207,9063,3,21,17,24,SOFT,0
1207,9063,4,44,19,21,MEDIUM,18
1207,9063,4,18,21,23,HARD,0
