meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1207,9064,1,21,1,3,SOFT,0
1207,9064,1,55,1,3,SOFT,8
1207,9064,1,1,1,5,SOFT,0
1207,9064,1,2,1,5,SOFT,0
1207,9064,1,4,1,5,SOFT,0
1207,9064,1,10,1,5,SOFT,0
1207,9064,1,11,1,5,SOFT,0
1207,9064,1,14,1,5,SOFT,0
1207,9064,1,16,1,5,SOFT,0
1207,9064,1,18,1,5,SOFT,4
1207,9064,1,22,1,5,SOFT,0
1207,9064,1,23,1,5,SOFT,0
1207,9064,1,24,1,5,SOFT,0
1207,9064,1,31,1,5,SOFT,0
1207,9064,1,63,1,5,SOFT,0
1207,9064,1,77,1,5,SOFT,0
1207,9064,1,81,1,5,SOFT,0
1207,9064,1,20,1,6,SOFT,0
1207,9064,1,27,1,6,SOFT,0
1207,9064,1,44,1,6,SOFT,0
1207,9064,2,55,3,5,SOFT,0
1207,9064,2,1,5,6,SOFT,4
1207,9064,2,4,5,6,SOFT,0
1207,9064,2,10,5,6,SOFT,0
1207,9064,2,14,5,6,SOFT,4
1207,9064,2,16,5,6,SOFT,4
1207,9064,2,2,5,7,SOFT,0
1207,9064,2,11,5,7,SOFT,4
1207,9064,2,18,5,7,SOFT,0
1207,9064,2,23,5,7,SOFT,0
1207,9064,2,24,5,7,SOFT,0
1207,9064,2,31,5,7,SOFT,0
1207,9064,2,63,5,7,SOFT,0
1207,9064,2,77,5,7,SOFT,0
1207,9064,2,81,5,7,SOFT,0
1207,9064,3,55,5,7,SOFT,2
1207,9064,2,22,5,10,SOFT,0
1207,9064,2,20,6,8,SOFT,0
1207,9064,2,44,6,8,SOFT,0
1207,9064,3,1,6,9,SOFT,5
1207,9064,2,27,6,10,SOFT,0
1207,9064,3,4,6,10,SOFT,0
1207,9064,3,14,6,11,SOFT,5
1207,9064,3,16,6,11,SOFT,5
1207,9064,3,11,7,11,SOFT,6
1207,9064,3,24,7,11,SOFT,0
1207,9064,3,2,7,12,SOFT,0
1207,9064,3,18,7,12,SOFT,0
1207,9064,3,23,7,12,SOFT,0
1207,9064,3,31,7,12,SOFT,0
1207,9064,3,63,7,12,SOFT,2
1207,9064,3,77,7,12,SOFT,0
1207,9064,3,81,7,12,SOFT,0
1207,9064,4,55,7,12,SOFT,0
1207,9064,3,20,8,9,SOFT,0
1207,9064,3,44,8,12,SOFT,2
1207,9064,4,1,9,12,SOFT,0
1207,9064,3,22,10,15,SOFT,0
1207,9064,4,4,10,15,SOFT,0
1207,9064,4,11,11,14,SOFT,0
1207,9064,4,14,11,16,SOFT,0
1207,9064,4,16,11,16,SOFT,0
1207,9064,4,2,12,15,SOFT,2
1207,9064,4,23,12,15,SOFT,2
1207,9064,4,44,12,15,SOFT,0
1207,9064,4,63,12,15,SOFT,7
1207,9064,4,77,12,15,SOFT,0
1207,9064,4,81,12,15,SOFT,0
1207,9064,5,1,12,15,SOFT,3
1207,9064,4,18,12,17,SOFT,2
1207,9064,4,31,12,17,SOFT,0
1207,9064,5,55,12,19,SOFT,0
1207,9064,5,11,14,16,SOFT,0
1207,9064,4,22,15,18,SOFT,0
1207,9064,5,4,15,18,SOFT,1
1207,9064,5,63,15,18,SOFT,0
1207,9064,6,1,15,18,SOFT,0
1207,9064,5,2,15,19,SOFT,0
1207,9064,5,23,15,19,SOFT,0
1207,9064,5,44,15,19,SOFT,0
1207,9064,5,77,15,19,SOFT,0
1207,9064,5,81,15,20,SOFT,0
1207,9064,5,14,16,18,SOFT,0
1207,9064,5,16,16,19,SOFT,0
1207,9064,6,11,16,19,SOFT,0
1207,9064,5,18,17,19,SOFT,5
1207,9064,5,31,17,19,SOFT,0
1207,9064,6,4,18,20,SOFT,0
1207,9064,7,1,18,20,SOFT,0
1207,9064,5,22,18,21,SOFT,4
1207,9064,6,14,18,21,SOFT,0
1207,9064,6,16,19,21,SOFT,0
1207,9064,7,11,19,21,SOFT,0
1207,9064,6,44,19,22,SOFT,0
1207,9064,6,55,19,22,SOFT,0
1207,9064,6,18,19,23,SOFT,0
1207,9064,6,81,20,24,SOFT,2
1207,9064,6,22,21,23,SOFT,5
1207,9064,7,14,21,23,SOFT,0
1207,9064,7,44,22,24,SOFT,0
1207,9064,7,55,22,24,UNKNOWN,0
