meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1207,9278,23,1,2023-04-29T08:30:03.892000+00:00,,51.148,27.071,150.0,192.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2049, 2051, 2051]",295.0
1207,9278,2,1,2023-04-29T08:30:05.360000+00:00,,54.337,27.41,119.0,188.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",288.0
1207,9278,27,1,2023-04-29T08:30:09.485000+00:00,,53.218,27.985,164.0,155.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051]",305.0
1207,9278,20,1,2023-04-29T08:30:14.251000+00:00,,51.986,27.989,160.0,130.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2051, 2051, 2051]",305.0
1207,9278,4,1,2023-04-29T08:30:21.157000+00:00,,51.006,27.406,188.0,132.0,True,,"[2064, 2064, 2049, 2049, 2051, 2051, 2051, 2051]","[2051, 2051, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",290.0
1207,9278,21,1,2023-04-29T08:30:22.969000+00:00,,48.514,27.009,162.0,145.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",302.0
1207,9278,22,1,2023-04-29T08:30:27.094000+00:00,,49.092,26.751,177.0,190.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",298.0
1207,9278,81,1,2023-04-29T08:30:29.126000+00:00,,49.337,27.325,182.0,125.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",298.0
1207,9278,63,1,2023-04-29T08:30:37.750000+00:00,,47.934,26.866,170.0,209.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049]",289.0
1207,9278,44,1,2023-04-29T08:30:45.250000+00:00,,45.716,26.44,174.0,216.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]","[2051, 2049, 2049, 2049, 2049, 2049]",299.0
1207,9278,14,1,2023-04-29T08:30:51.610000+00:00,,47.083,27.024,175.0,190.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",298.0
1207,9278,18,1,2023-04-29T08:30:54.188000+00:00,,48.828,26.507,173.0,196.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",301.0
1207,9278,31,1,2023-04-29T08:30:59+00:00,,47.92,26.882,176.0,187.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",293.0
1207,9278,77,1,2023-04-29T08:31:01.625000+00:00,,49.648,26.342,173.0,183.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049]",302.0
1207,9278,24,1,2023-04-29T08:31:06+00:00,,48.581,26.431,159.0,187.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",302.0
1207,9278,11,1,2023-04-29T08:31:17.859000+00:00,,51.637,26.064,188.0,219.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051]",305.0
1207,9278,10,1,2023-04-29T08:31:19.922000+00:00,,52.964,27.219,169.0,195.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",293.0
1207,9278,1,1,2023-04-29T08:31:30.703000+00:00,,51.68,26.016,181.0,203.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051]",304.0
1207,9278,16,1,2023-04-29T08:31:36.890000+00:00,,55.681,26.314,177.0,95.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",310.0
1207,9278,55,1,2023-04-29T08:31:41.343000+00:00,,59.689,28.046,183.0,65.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",304.0
1207,9278,23,2,2023-04-29T08:32:03.890000+00:00,37.342,43.004,25.126,207.0,219.0,False,105.472,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 0]",319.0
1207,9278,2,2,2023-04-29T08:32:08.452000+00:00,37.408,42.727,24.833,206.0,228.0,False,104.968,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2051]","[2049, 2051, 2051, 2051, 2051, 2051, 0]",323.0
1207,9278,27,2,2023-04-29T08:32:15.342000+00:00,37.823,42.851,25.163,201.0,207.0,False,105.837,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",321.0
1207,9278,20,2,2023-04-29T08:32:19.608000+00:00,37.43,42.426,24.986,191.0,230.0,False,104.842,"[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",320.0
1207,9278,4,2,2023-04-29T08:32:24.608000+00:00,37.438,42.738,25.14,204.0,223.0,False,105.316,"[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049]",316.0
1207,9278,21,2,2023-04-29T08:32:30.483000+00:00,38.083,43.977,26.12,213.0,229.0,False,108.18,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",316.0
1207,9278,22,2,2023-04-29T08:32:36.155000+00:00,37.367,42.802,25.267,207.0,228.0,False,105.436,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",319.0
1207,9278,81,2,2023-04-29T08:32:39.748000+00:00,83.05,55.245,25.575,165.0,190.0,False,163.87,"[2049, 2049, 2049, 2049, 2051, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",313.0
1207,9278,63,2,2023-04-29T08:32:45.576000+00:00,38.911,44.843,26.496,182.0,220.0,False,110.25,"[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049]",296.0
1207,9278,44,2,2023-04-29T08:32:51.514000+00:00,37.204,42.538,24.997,212.0,228.0,False,104.739,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",319.0
