meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1211,9096,1,16,1,4,SOFT,0
1211,9096,1,55,1,4,SOFT,0
1211,9096,1,63,1,5,TEST_UNKNOWN,7
1211,9096,1,1,1,6,TEST_UNKNOWN,0
1211,9096,1,11,1,6,TEST_UNKNOWN,0
1211,9096,1,44,1,6,TEST_UNKNOWN,7
1211,9096,1,14,1,7,TEST_UNKNOWN,0
1211,9096,1,18,1,7,TEST_UNKNOWN,4
1211,9096,1,20,1,7,MEDIUM,0
1211,9096,1,81,1,7,TEST_UNKNOWN,0
1211,9096,1,2,1,8,TEST_UNKNOWN,0
1211,9096,1,4,1,8,MEDIUM,0
1211,9096,1,10,1,8,HARD,0
1211,9096,1,21,1,8,TEST_UNKNOWN,0
1211,9096,1,22,1,8,TEST_UNKNOWN,0
1211,9096,1,23,1,8,MEDIUM,0
1211,9096,1,24,1,8,MEDIUM,0
1211,9096,1,27,1,8,MEDIUM,0
1211,9096,1,31,1,8,HARD,0
1211,9096,1,77,1,8,MEDIUM,0
1211,9096,2,16,4,7,SOFT,0
1211,9096,2,55,4,7,SOFT,3
1211,9096,2,63,5,11,MEDIUM,0
1211,9096,2,1,6,9,MEDIUM,0
1211,9096,2,44,6,11,MEDIUM,0
1211,9096,2,11,6,12,MEDIUM,0
1211,9096,3,16,7,10,SOFT,0
1211,9096,3,55,7,10,SOFT,0
1211,9096,2,81,7,12,MEDIUM,0
1211,9096,2,20,7,13,SOFT,0
1211,9096,2,14,7,14,MEDIUM,0
1211,9096,2,18,7,14,MEDIUM,0
1211,9096,2,24,8,9,MEDIUM,7
1211,9096,2,77,8,9,MEDIUM,0
1211,9096,2,2,8,11,SOFT,0
1211,9096,2,10,8,11,SOFT,0
1211,9096,2,23,8,11,SOFT,0
1211,9096,2,27,8,11,SOFT,0
1211,9096,2,31,8,11,SOFT,0
1211,9096,2,4,8,14,SOFT,0
1211,9096,2,21,8,14,MEDIUM,0
1211,9096,2,22,8,14,MEDIUM,0
1211,9096,3,1,9,12,SOFT,0
1211,9096,3,24,9,12,SOFT,0
1211,9096,3,77,9,12,SOFT,0
1211,9096,4,16,10,18,TEST_UNKNOWN,0
1211,9096,4,55,10,23,TEST_UNKNOWN,0
1211,9096,3,2,11,14,SOFT,3
1211,9096,3,10,11,14,SOFT,3
1211,9096,3,23,11,14,SOFT,3
1211,9096,3,31,11,14,SOFT,3
1211,9096,3,44,11,14,SOFT,0
1211,9096,3,63,11,14,SOFT,0
1211,9096,3,27,11,28,SOFT,3
1211,9096,3,11,12,15,SOFT,0
1211,9096,3,81,12,15,SOFT,0
1211,9096,4,24,12,15,SOFT,3
1211,9096,4,77,12,15,SOFT,3
1211,9096,4,1,12,23,MEDIUM,3
1211,9096,3,20,13,24,MEDIUM,6
1211,9096,4,44,14,17,SOFT,0
1211,9096,3,4,14,18,MEDIUM,7
1211,9096,3,14,14,19,SOFT,0
1211,9096,4,23,14,19,MEDIUM,7
1211,9096,3,18,14,20,SOFT,0
1211,9096,3,21,14,20,SOFT,0
1211,9096,3,22,14,20,SOFT,0
1211,9096,4,2,14,23,SOFT,6
1211,9096,4,10,14,29,SOFT,6
1211,9096,4,31,14,30,SOFT,6
1211,9096,4,63,14,31,SOFT,0
1211,9096,5,24,15,21,TEST_UNKNOWN,0
1211,9096,5,77,15,22,TEST_UNKNOWN,0
1211,9096,4,81,15,27,SOFT,3
1211,9096,4,11,15,28,SOFT,3
1211,9096,5,44,17,24,SOFT,6
1211,9096,4,4,18,30,TEST_UNKNOWN,0
1211,9096,5,16,18,32,SOFT,0
1211,9096,4,14,19,22,SOFT,5
1211,9096,5,23,19,28,TEST_UNKNOWN,0
1211,9096,4,21,20,30,MEDIUM,6
1211,9096,4,18,20,31,SOFT,6
1211,9096,4,22,20,34,SOFT,6
1211,9096,6,24,21,29,MEDIUM,8
1211,9096,5,14,22,30,SOFT,8
1211,9096,6,77,22,32,SOFT,6
1211,9096,5,55,23,32,SOFT,6
1211,9096,5,2,23,33,MEDIUM,0
1211,9096,5,1,23,34,SOFT,3
1211,9096,6,44,24,31,MEDIUM,5
1211,9096,5,81,27,30,MEDIUM,5
1211,9096,5,11,28,30,MEDIUM,6
1211,9096,4,27,28,31,MEDIUM,7
1211,9096,6,23,28,32,MEDIUM,12
1211,9096,5,21,30,33,SOFT,6
