meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1211,9098,1,16,1,2,SOFT,0
1211,9098,1,55,1,2,SOFT,0
1211,9098,1,1,1,3,SOFT,0
1211,9098,1,4,1,3,SOFT,0
1211,9098,1,11,1,3,SOFT,0
1211,9098,1,21,1,3,SOFT,0
1211,9098,1,22,1,3,SOFT,0
1211,9098,1,23,1,3,SOFT,0
1211,9098,1,24,1,3,SOFT,0
1211,9098,1,77,1,3,SOFT,0
1211,9098,1,81,1,3,SOFT,0
1211,9098,1,2,1,4,SOFT,0
1211,9098,1,10,1,4,SOFT,0
1211,9098,1,14,1,4,SOFT,0
1211,9098,1,18,1,4,SOFT,0
1211,9098,1,20,1,4,SOFT,0
1211,9098,1,27,1,4,SOFT,0
1211,9098,1,31,1,4,SOFT,0
1211,9098,1,44,1,4,SOFT,0
1211,9098,1,63,1,4,SOFT,0
1211,9098,2,16,2,8,SOFT,0
1211,9098,2,55,2,8,SOFT,0
1211,9098,2,22,3,4,SOFT,0
1211,9098,2,21,3,5,SOFT,0
1211,9098,2,23,3,6,SOFT,0
1211,9098,2,81,3,7,SOFT,0
1211,9098,2,4,3,8,SOFT,0
1211,9098,2,11,3,8,SOFT,2
1211,9098,2,24,3,8,SOFT,0
1211,9098,2,77,3,8,SOFT,0
1211,9098,2,1,3,10,SOFT,2
1211,9098,2,2,4,6,SOFT,0
1211,9098,2,10,4,7,SOFT,3
1211,9098,2,14,4,7,SOFT,3
1211,9098,2,18,4,7,SOFT,3
1211,9098,2,20,4,7,SOFT,3
1211,9098,2,27,4,7,SOFT,3
1211,9098,2,31,4,7,SOFT,3
1211,9098,2,44,4,9,SOFT,3
1211,9098,2,63,4,9,SOFT,3
1211,9098,3,22,4,9,SOFT,0
1211,9098,3,21,5,8,SOFT,0
1211,9098,3,23,6,8,SOFT,0
1211,9098,3,20,7,9,SOFT,0
1211,9098,3,81,7,9,SOFT,0
1211,9098,3,10,7,10,SOFT,0
1211,9098,3,14,7,10,SOFT,0
1211,9098,3,27,7,10,SOFT,0
1211,9098,3,31,7,10,SOFT,0
1211,9098,3,18,7,12,SOFT,0
1211,9098,3,16,8,10,SOFT,0
1211,9098,3,77,8,10,SOFT,0
1211,9098,3,4,8,11,SOFT,0
1211,9098,3,11,8,11,SOFT,0
1211,9098,3,24,8,11,SOFT,0
1211,9098,3,55,8,11,SOFT,0
1211,9098,4,21,8,11,SOFT,0
1211,9098,3,44,9,12,SOFT,0
1211,9098,3,63,9,12,SOFT,0
1211,9098,4,22,9,12,SOFT,0
1211,9098,4,81,9,12,SOFT,2
1211,9098,3,1,10,13,SOFT,0
1211,9098,4,10,10,13,SOFT,0
1211,9098,4,14,10,13,SOFT,0
1211,9098,4,27,10,13,SOFT,3
1211,9098,4,31,10,13,SOFT,0
1211,9098,4,4,11,14,SOFT,3
1211,9098,4,11,11,14,SOFT,0
1211,9098,4,24,11,14,SOFT,3
1211,9098,4,55,11,14,SOFT,3
1211,9098,5,21,11,14,SOFT,3
1211,9098,4,18,12,15,SOFT,0
1211,9098,4,63,12,15,SOFT,0
1211,9098,5,81,12,15,SOFT,0
1211,9098,4,44,12,16,SOFT,0
1211,9098,5,22,12,16,SOFT,5
1211,9098,4,1,13,16,SOFT,3
1211,9098,5,10,13,16,SOFT,0
1211,9098,5,14,13,16,SOFT,0
1211,9098,5,27,13,16,SOFT,0
1211,9098,5,31,13,16,SOFT,0
1211,9098,5,24,14,16,SOFT,2
1211,9098,6,21,14,16,SOFT,3
1211,9098,5,4,14,17,SOFT,0
1211,9098,5,11,14,17,SOFT,0
1211,9098,5,55,14,17,SOFT,0
1211,9098,5,18,15,18,SOFT,0
1211,9098,5,63,15,18,SOFT,0
1211,9098,6,81,15,18,SOFT,3
1211,9098,5,44,16,18,SOFT,0
1211,9098,6,14,16,18,SOFT,0
1211,9098,6,27,16,18,SOFT,0
1211,9098,5,1,16,19,SOFT,0
1211,9098,6,10,16,19,SOFT,3
1211,9098,6,22,16,19,SOFT,1
1211,9098,6,31,16,19,SOFT,3
1211,9098,6,4,17,20,SOFT,3
1211,9098,6,55,17,20,SOFT,3
1211,9098,7,81,18,20,SOFT,0
1211,9098,6,18,18,21,SOFT,3
1211,9098,6,44,18,21,SOFT,0
1211,9098,6,1,19,20,SOFT,0
1211,9098,7,10,19,21,SOFT,0
1211,9098,7,31,19,21,SOFT,0
1211,9098,7,4,20,22,SOFT,0
1211,9098,7,55,20,22,SOFT,0
1211,9098,7,18,21,23,SOFT,0
1211,9098,7,44,21,23,SOFT,0
