meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1211,9098,22,1,2023-06-03T14:00:05.085000+00:00,,32.619,36.573,246.0,246.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",207
1211,9098,63,1,2023-06-03T14:00:09.881000+00:00,,33.461,27.148,247.0,122.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2051]","[2051, 2051, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2051, 2051, 2051, 2051]",232
1211,9098,21,1,2023-06-03T14:00:11.725000+00:00,,32.14,33.907,254.0,268.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2049]",203
1211,9098,31,1,2023-06-03T14:00:17.241000+00:00,,39.269,27.068,190.0,240.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",216
1211,9098,44,1,2023-06-03T14:00:26.241000+00:00,,34.336,30.526,199.0,246.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049]",213
1211,9098,10,1,2023-06-03T14:00:37.787000+00:00,,36.573,27.175,223.0,231.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",226
1211,9098,18,1,2023-06-03T14:00:42.334000+00:00,,38.347,27.656,228.0,232.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",222
1211,9098,14,1,2023-06-03T14:00:49.896000+00:00,,33.024,27.972,254.0,235.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",212
1211,9098,20,1,2023-06-03T14:00:52.771000+00:00,,36.618,24.924,205.0,259.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2051, 2049]",218
1211,9098,27,1,2023-06-03T14:00:54.006000+00:00,,33.262,28.278,225.0,234.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",182
1211,9098,77,1,2023-06-03T14:00:56.178000+00:00,,33.907,27.51,219.0,218.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",173
