meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1215,9223,1,5,,,UNKNOWN,0
1215,9223,1,6,,,UNKNOWN,0
1215,9223,1,7,,,UNKNOWN,0
1215,9223,1,8,,,UNKNOWN,0
1215,9223,1,9,,,UNKNOWN,0
1215,9223,1,12,,,UNKNOWN,0
1215,9223,1,15,,,UNKNOWN,0
1215,9223,1,17,,,UNKNOWN,0
1215,9223,1,19,,,UNKNOWN,0
1215,9223,1,21,,,UNKNOWN,0
1215,9223,1,25,,,UNKNOWN,0
1215,9223,1,26,,,UNKNOWN,0
1215,9223,1,28,,,UNKNOWN,0
1215,9223,1,29,,,UNKNOWN,0
1215,9223,1,30,,,UNKNOWN,0
1215,9223,2,5,,,UNKNOWN,0
1215,9223,2,6,,,UNKNOWN,0
1215,9223,2,7,,,UNKNOWN,0
1215,9223,2,8,,,UNKNOWN,0
1215,9223,2,9,,,UNKNOWN,0
1215,9223,2,12,,,UNKNOWN,0
1215,9223,2,15,,,UNKNOWN,0
1215,9223,2,17,,,UNKNOWN,0
1215,9223,2,19,,,UNKNOWN,0
1215,9223,2,21,,,UNKNOWN,0
1215,9223,2,25,,,UNKNOWN,0
1215,9223,2,26,,,UNKNOWN,0
1215,9223,2,28,,,UNKNOWN,0
1215,9223,2,29,,,UNKNOWN,0
1215,9223,2,30,,,UNKNOWN,0
1215,9223,3,5,,,UNKNOWN,0
1215,9223,3,6,,,UNKNOWN,0
1215,9223,3,7,,,UNKNOWN,0
1215,9223,3,8,,,UNKNOWN,0
1215,9223,3,9,,,UNKNOWN,0
1215,9223,3,12,,,UNKNOWN,0
1215,9223,3,15,,,UNKNOWN,0
1215,9223,3,17,,,UNKNOWN,0
1215,9223,3,19,,,UNKNOWN,0
1215,9223,3,21,,,UNKNOWN,0
1215,9223,3,25,,,UNKNOWN,0
1215,9223,3,26,,,UNKNOWN,0
1215,9223,3,28,,,UNKNOWN,0
1215,9223,3,29,,,UNKNOWN,0
1215,9223,3,30,,,UNKNOWN,0
1215,9223,1,10,1.0,1.0,UNKNOWN,0
1215,9223,1,23,1.0,1.0,UNKNOWN,0
1215,9223,1,31,1.0,1.0,UNKNOWN,0
1215,9223,1,1,1.0,2.0,UNKNOWN,0
1215,9223,1,2,1.0,2.0,UNKNOWN,0
1215,9223,1,3,1.0,2.0,UNKNOWN,0
1215,9223,1,4,1.0,2.0,UNKNOWN,0
1215,9223,1,11,1.0,2.0,UNKNOWN,0
