meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1215,9129,1,3,1,4,HARD,0
1215,9129,1,22,1,4,HARD,8
1215,9129,1,2,1,6,HARD,0
1215,9129,1,10,1,6,HARD,0
1215,9129,1,11,1,6,HARD,0
1215,9129,1,14,1,6,HARD,0
1215,9129,1,16,1,6,HARD,0
1215,9129,1,18,1,6,HARD,0
1215,9129,1,20,1,6,HARD,0
1215,9129,1,23,1,6,HARD,0
1215,9129,1,24,1,6,HARD,0
1215,9129,1,27,1,6,HARD,0
1215,9129,1,31,1,6,HARD,0
1215,9129,1,44,1,6,HARD,0
1215,9129,1,77,1,6,HARD,0
1215,9129,1,81,1,6,HARD,0
1215,9129,1,1,1,7,HARD,0
1215,9129,1,4,1,7,HARD,0
1215,9129,1,55,1,7,HARD,0
1215,9129,1,63,1,7,HARD,0
1215,9129,2,3,4,7,HARD,0
1215,9129,2,22,4,7,HARD,0
1215,9129,2,2,6,8,HARD,0
1215,9129,2,20,6,8,HARD,0
1215,9129,2,23,6,8,HARD,0
1215,9129,2,10,6,9,HARD,0
1215,9129,2,11,6,9,HARD,0
1215,9129,2,27,6,9,HARD,0
1215,9129,2,31,6,9,HARD,0
1215,9129,2,44,6,9,HARD,0
1215,9129,2,77,6,9,HARD,0
1215,9129,2,14,6,10,HARD,0
1215,9129,2,16,6,10,HARD,0
1215,9129,2,81,6,10,HARD,0
1215,9129,2,18,6,11,HARD,0
1215,9129,2,24,6,11,HARD,0
1215,9129,2,63,7,9,HARD,0
1215,9129,3,22,7,9,HARD,0
1215,9129,2,1,7,10,HARD,0
1215,9129,2,55,7,10,HARD,0
1215,9129,3,3,7,10,HARD,0
1215,9129,2,4,7,12,HARD,0
1215,9129,3,10,9,11,HARD,0
1215,9129,3,31,9,11,HARD,0
1215,9129,3,27,9,12,MEDIUM,0
1215,9129,3,44,9,12,MEDIUM,0
1215,9129,3,77,9,12,MEDIUM,0
1215,9129,3,11,9,15,MEDIUM,0
1215,9129,3,63,10,10,HARD,0
1215,9129,3,1,10,13,MEDIUM,0
1215,9129,3,14,10,13,MEDIUM,0
1215,9129,3,16,10,13,MEDIUM,0
1215,9129,3,55,10,13,MEDIUM,0
1215,9129,3,81,10,13,MEDIUM,0
1215,9129,4,3,10,13,MEDIUM,0
1215,9129,3,24,11,14,MEDIUM,0
1215,9129,4,10,11,14,MEDIUM,0
1215,9129,4,31,11,14,MEDIUM,0
1215,9129,3,18,11,16,MEDIUM,0
1215,9129,3,4,12,15,MEDIUM,0
1215,9129,4,27,12,15,MEDIUM,0
1215,9129,4,44,12,15,MEDIUM,0
1215,9129,4,77,12,15,MEDIUM,0
1215,9129,4,55,13,15,MEDIUM,0
1215,9129,4,81,13,15,MEDIUM,0
1215,9129,5,3,13,15,MEDIUM,0
1215,9129,4,1,13,16,MEDIUM,0
1215,9129,4,14,13,16,MEDIUM,0
1215,9129,4,16,13,16,MEDIUM,0
1215,9129,5,10,14,16,MEDIUM,0
1215,9129,5,31,14,16,MEDIUM,0
1215,9129,4,24,14,17,MEDIUM,0
1215,9129,4,4,15,18,SOFT,0
1215,9129,4,11,15,18,MEDIUM,0
1215,9129,5,27,15,18,SOFT,0
1215,9129,5,44,15,18,SOFT,0
1215,9129,5,77,15,18,SOFT,0
1215,9129,5,81,15,18,SOFT,0
1215,9129,4,18,16,18,MEDIUM,0
1215,9129,5,1,16,19,SOFT,0
1215,9129,5,14,16,19,SOFT,0
1215,9129,5,16,16,19,SOFT,0
1215,9129,5,24,17,20,SOFT,0
1215,9129,5,4,18,20,SOFT,0
1215,9129,6,27,18,20,SOFT,0
1215,9129,6,44,18,20,SOFT,0
1215,9129,6,77,18,20,SOFT,0
1215,9129,6,81,18,20,SOFT,0
1215,9129,5,11,18,21,SOFT,0
1215,9129,6,1,19,21,SOFT,0
1215,9129,6,14,19,21,SOFT,0
1215,9129,6,16,19,21,SOFT,0
1215,9129,6,24,20,22,SOFT,0
1215,9129,6,11,21,23,SOFT,0
